38  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
38  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
38  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
38  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
38  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
39  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
39  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
39  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
39  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
39  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
39  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
39  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
39  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
39  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
40  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
40  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
40  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
40  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
40  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
40  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
40  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
40  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
40  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
41  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
41  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
41  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
41  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
41  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
41  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
41  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
41  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
41  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
42  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
42  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
42  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
42  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
42  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
42  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
42  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
42  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
42  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
43  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
43  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
43  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
43  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
43  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
43  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
43  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
43  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
43  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
44  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
44  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
44  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
44  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
44  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
44  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
44  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
44  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
44  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
45  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
45  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
45  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
45  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
45  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
45  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
45  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
45  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
45  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
46  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
46  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
46  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
46  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
46  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
46  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
46  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
46  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
46  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
47  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
47  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
47  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
47  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
47  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
47  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
47  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
47  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
47  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
48  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
48  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
48  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
48  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
48  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
48  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
