20 	 7 	 10  	 1  	 146.558521 	 0.050000 	 0 
20 	 1 	 10  	 3  	 10003.796935 	 6.900000 	 10 
20 	 2 	 10  	 4  	 42270.930306 	 3.400000 	 8 
20 	 3 	 10  	 5  	 15120.488908 	 3.400000 	 6 
20 	 4 	 10  	 4  	 8836.685557 	 1.950000 	 4 
20 	 5 	 10  	 3  	 45699.101747 	 1.000000 	 5 
20 	 6 	 10  	 5  	 533054.435036 	 3.000000 	 9 
20 	 7 	 10  	 5  	 34025.789712 	 2.000000 	 8 
300 	 1 	 10  	 2  	 2859.128711 	 3.010000 	 4 
300 	 2 	 10  	 5  	 700.252400 	 3.023333 	 16 
300 	 3 	 10  	 3  	 249.010330 	 0.966667 	 1 
300 	 4 	 10  	 2  	 0.576504 	 0.003333 	 0 
300 	 5 	 10  	 2  	 89.939449 	 1.000000 	 1 
300 	 6 	 10  	 2  	 24.189373 	 0.020000 	 2 
300 	 7 	 10  	 5  	 33.936844 	 0.103333 	 1 
300 	 1 	 10  	 4  	 858.058626 	 7.013333 	 10 
300 	 2 	 10  	 3  	 56.577555 	 3.000000 	 4 
300 	 3 	 10  	 1  	 0.290579 	 0.013333 	 0 
300 	 4 	 10  	 5  	 126.765527 	 2.006667 	 2 
300 	 5 	 10  	 3  	 3929.895043 	 2.013333 	 1 
300 	 6 	 10  	 1  	 0.433260 	 0.010000 	 1 
300 	 7 	 10  	 5  	 4.091923 	 0.050000 	 1 
2 	 1 	 10  	 5  	 9511.437644 	 8.000000 	 0 
2 	 2 	 10  	 3  	 552.630786 	 2.000000 	 0 
2 	 3 	 10  	 5  	 18320.280308 	 3.500000 	 1 
2 	 4 	 10  	 1  	 3363.477062 	 2.000000 	 1 
2 	 5 	 10  	 2  	 361068.597401 	 2.500000 	 1 
2 	 6 	 10  	 3  	 3207.872804 	 4.000000 	 0 
2 	 7 	 10  	 2  	 0.000000 	 0.000000 	 0 
8 	 1 	 10  	 3  	 2069.660814 	 3.750000 	 0 
8 	 2 	 10  	 5  	 4418.654872 	 2.750000 	 0 
8 	 3 	 10  	 2  	 21407.270388 	 2.750000 	 1 
8 	 4 	 10  	 1  	 157.766587 	 0.125000 	 0 
8 	 5 	 10  	 1  	 0.000000 	 0.000000 	 0 
8 	 6 	 10  	 5  	 15968.705024 	 2.250000 	 1 
8 	 7 	 10  	 1  	 114429.741678 	 0.125000 	 0 
